"time","revolute1.w","revolute1.tau","revolute1.frame_b.f[3]","revolute1.frame_b.f[1]","revolute1.frame_b.f[2]"
1.58833,9.30194056056464,-128.1698699536009,-272.196702268154,-20.64264311037682,-6.922392403981363e-14
1.59233,8.89219833196149,-128.4706388007365,-272.1112571737623,-16.20289334885734,-7.008826185338349e-15
1.59633,8.487437918127947,-128.6974938255616,-271.8942992631176,-11.83538515450666,4.251715465948342e-14
1.60033,8.087401729720904,-128.8245507184715,-271.4965022720326,-7.543147337587683,-1.758705088049508e-16
1.60433,7.691644838803919,-128.9246939137415,-271.0667115409942,-3.372172377472623,4.840125192703102e-13
1.60833,7.299764259739563,-128.9277442488918,-270.4658909771207,0.6927542049074162,1.612543835580231e-13
1.61233,6.911233079591968,-128.9309162414826,-269.8911506784861,4.605244669840545,2.966494903693913e-14
1.61633,6.525548142316675,-128.8617436297603,-269.197984182733,8.376232637364208,4.083266852843894e-14
1.62033,6.142219551291321,-128.7949540634754,-268.5379611375684,11.97627636845519,-4.293596899267255e-15
1.62433,5.760728838329882,-128.6740651340465,-267.798118051493,15.4074374202277,6.190656394866247e-14
1.62834,5.380597293241853,-128.5706023771634,-267.1231609832478,18.64858684550687,4.267160934810443e-14
1.63234,5.001434863243137,-128.4032032569067,-266.3501700201226,21.70397693809885,8.790603304007974e-14
1.63634,4.622828904492754,-128.25806997806,-265.6528206411571,24.55507620798549,9.00013283365449e-14
1.64034,4.244389434977921,-128.1204451613578,-265.0018728948795,27.19906967094076,5.571765170411237e-14
1.64434,3.865797327376653,-127.9438527916519,-264.3040324721158,29.63161931735644,3.093804102815365e-13
1.64834,3.487241175761242,-128.4339437655774,-264.9652616226981,31.82054763867994,5.388570511496867e-14
1.65234,3.112060455128184,-131.5770447374677,-270.9372213249685,33.78764142341015,5.999751851563677e-14
1.65634,2.743478583008476,-136.2881302146288,-280.0614725599728,35.71666691508113,6.56923126461976e-14
1.66034,2.387707272290495,-138.2152221353335,-283.5971194389487,37.43256283345578,4.227924603983901e-14
1.66434,2.058452681779305,-134.7961144522139,-276.3877612271336,38.6048012404886,6.940971419936201e-14
1.66834,1.765850131922061,-129.4957114289962,-265.4125644740908,39.3981273492747,4.720966723031669e-14
1.67234,1.512841381414149,-124.0421853457648,-254.1489972109934,39.98212090970087,6.330215922872192e-14
1.67635,1.300265898231445,-118.7002433202954,-243.1269426094511,40.43065326567856,9.848723805446592e-15
1.68035,1.127725476668474,-112.0194312216373,-229.4546123054083,40.63670396423561,1.466429680996514e-14
1.68435,0.9885310140007307,-99.20260986319249,-203.5750809856351,40.00758369998719,9.959743886751458e-14
1.68835,0.8752175950029849,-83.01113794217054,-170.9857137345693,38.67722002043973,8.007197709121431e-14
1.69235,0.7849180298373328,-65.95638832696581,-136.6847551344069,36.87367283108822,1.668792502298581e-14
1.69635,0.7171411880001859,-48.70571283672754,-101.9995390422813,34.66354771759978,9.076860414123918e-15
1.70035,0.6716202547618779,-31.43612843741558,-67.28317058993234,32.06488735496323,1.887436296819953e-14
1.70435,0.6481277143266966,-14.06900302151342,-32.37667060401603,29.05327949262848,2.104484204540103e-14
1.70835,0.6455127268229867,2.465719208524742,0.8477141790436615,25.81278490960404,-1.064187706903833e-14
1.71235,0.6536065933512125,12.47819340490394,20.94828806579707,23.62345230443569,-1.284703560721038e-14
1.71635,0.6624158286752732,16.15213260767527,28.33916844225889,22.64256023331553,-1.397480628014868e-14
1.72035,0.6664698115953965,20.17962200030647,36.40984348241017,21.48433913979818,-5.034996324924097e-13
1.72436,0.6616002272465222,25.65155567206851,47.35184232485332,19.84503620231457,-1.941398816057938e-14
1.72836,0.6458303823877786,31.63183180113793,59.30418817726314,17.91762261460022,-2.515699382881739e-13
1.73236,0.6184169113681997,37.63960686909181,71.30693535237533,15.82902396409238,-9.169127715701639e-14
1.73636,0.578999732459645,43.70816339397986,83.42741658439131,13.58767552640923,1.067860307908258e-13
1.74036,0.5272188932146706,49.67733087146644,95.34338437430073,11.26632635657324,1.007631243131421e-12
1.74436,0.4627049255356212,55.67090510440994,107.3035301627696,8.86226788753272,-2.109072782025195e-13
1.74836,0.3859053782517494,60.44109172926396,116.8235633026629,6.817200779801453,-5.560162248981721e-14
1.75236,0.3048684818642395,59.14570226957563,114.2682724876657,6.797577303200111,-4.631959879341862e-14
1.75636,0.2293495030589697,54.04959471126339,104.1452162825539,8.169903424210389,-6.723785461559364e-13
1.76036,0.1637345002994584,48.07545199349445,92.27170909029589,9.972785325771884,-5.664089427177895e-14
1.76436,0.1090595740944433,41.9939599947342,80.18062936281081,11.91621595872613,1.527030714155036e-13
1.76836,0.06552216568440096,35.93189537009717,68.12498689511824,13.92524397451302,-1.682125809644121e-13
1.77236,0.03327236610185266,29.92943759220923,56.18622291318145,15.95975631926032,-1.627259621199082e-14
1.77637,0.01224511576176284,23.89545345847335,44.18152764439767,18.02998989767788,9.277378195010073e-14
1.78037,0.002678581317145786,18.76916744135129,33.98264269099082,19.79779906443238,-6.646605483563416e-14
1.78437,0.0001682414476526215,16.5510142082091,29.56937372408499,20.56372408334211,3.91579227312911e-14
1.78837,-0.0001091654747026917,16.0890305834969,28.65016544199424,20.72333159235962,-4.06558901983598e-14
1.79237,-4.843677806647516e-05,16.06714802472368,28.60661396100766,20.73091328669269,1.121729230946207e-13
1.79637,-1.002368122822903e-05,16.08837246014146,28.64884010260015,20.72358819577942,-6.538366408844823e-15
1.80037,-4.657138963982106e-07,16.09710395543338,28.66621246082585,20.72057290673582,-7.814968506258319e-15
1.80437,5.019541310656067e-07,16.09884332664338,28.66967329968644,20.71997196685639,-1.096788047372422e-13
1.80837,-0.0015821498628644,14.41897746616077,25.286601762514,21.28729216851786,1.073642808110126e-12
1.81237,-0.01487025357872473,5.909746333463646,8.149371277380059,24.16102408935752,9.895381762896043e-13
1.81637,-0.05377128568926053,-5.613988153097337,-15.06076772921352,28.0514004874656,-1.105312049208968e-13
1.82037,-0.1227051669112172,-17.69618970841282,-39.39986070198973,32.12112394977905,-2.292552721683394e-13
1.82438,-0.2222383131926608,-29.8023467793945,-63.79400372591687,36.17350294265285,7.903451388461633e-14
1.82838,-0.3523210693488863,-41.89322627075284,-88.16667241124495,40.1705926151343,-5.575780562960065e-14
1.83238,-0.5128367894044465,-53.97028905718494,-112.5234033228265,44.07969883114262,1.995226333972724e-14
1.83638,-0.7036183476717582,-66.00536643748706,-136.8101525145345,47.85013893333655,2.703031402644532e-14
1.84038,-0.9245929613433929,-78.1480968182414,-161.3300325862598,51.48112272763522,2.749721365324636e-13
